symbol,event,date,impact
ALL,Manual macro/news check: Fed, CPI, jobs, central-bank speeches, war/geopolitics, major tariff/political press conference,,high
SPY,CPI/FOMC/manual macro check,,high
QQQ,CPI/FOMC/manual macro check,,high
IWM,CPI/FOMC/manual macro check,,high
ARKK,High-beta growth macro sensitivity,,high
XIU.TO,Bank of Canada / oil / Canada macro manual check,,medium
XIC.TO,Bank of Canada / oil / Canada macro manual check,,medium
NVDA,Earnings/manual check,,high
TSLA,Earnings/manual check,,high
AAPL,Earnings/manual check,,high
AMZN,Earnings/manual check,,high
MSFT,Earnings/manual check,,high
AMD,Earnings/manual check,,high
META,Earnings/manual check,,high
HOOD,Earnings/manual news check,,high
SOFI,Earnings/manual news check,,high
AFRM,Earnings/manual news check,,high
UPST,Earnings/manual news check,,high
RIVN,Earnings/manual news check,,high
LCID,Earnings/manual news check,,high
MARA,Bitcoin / miner regulatory news check,,high
RIOT,Bitcoin / miner regulatory news check,,high
WULF,Bitcoin / miner regulatory news check,,high
BITF.TO,Bitcoin / miner regulatory news check,,high
HUT.TO,Bitcoin / miner regulatory news check,,high
