symbol,name,type,group
SPY,S&P 500 ETF,Index ETF,Index
QQQ,Nasdaq 100 ETF,Index ETF,Index
IWM,Russell 2000 ETF,Index ETF,Index
TSLA,Tesla,Stock,Momentum
NVDA,NVIDIA,Stock,Momentum
AMD,Advanced Micro Devices,Stock,Momentum
AAPL,Apple,Stock,Mega Cap
AMZN,Amazon,Stock,Mega Cap
META,Meta Platforms,Stock,Mega Cap
MSFT,Microsoft,Stock,Mega Cap
GOOGL,Alphabet,Stock,Mega Cap
NFLX,Netflix,Stock,Momentum
AVGO,Broadcom,Stock,Momentum
PLTR,Palantir,Stock,Momentum
MSTR,MicroStrategy,Stock,Crypto Beta
COIN,Coinbase,Stock,Crypto Beta
HOOD,Robinhood,Stock,High Beta
SOFI,SoFi,Stock,High Beta
RIVN,Rivian,Stock,High Beta
MU,Micron Technology,Stock,Semis
INTC,Intel,Stock,Semis
ORCL,Oracle,Stock,Software
