symbol,name,type
AAPL,Apple,Stock
AMZN,Amazon,Stock
GOOGL,Alphabet Class A,Stock
META,Meta Platforms,Stock
NVDA,NVIDIA,Stock
AMD,Advanced Micro Devices,Stock
INTC,Intel,Stock
C,Citigroup,Stock
ORCL,Oracle,Stock
NFLX,Netflix,Stock
COIN,Coinbase,Stock
HOOD,Robinhood,Stock
SOFI,SoFi,Stock
RIVN,Rivian,Stock
PLTR,Palantir,Stock
UBER,Uber,Stock
DIS,Walt Disney,Stock
PYPL,PayPal,Stock
SQ,Block,Stock
BAC,Bank of America,Stock
WFC,Wells Fargo,Stock
T,AT&T,Stock
F,Ford,Stock
GM,General Motors,Stock
PFE,Pfizer,Stock
NKE,Nike,Stock
SHOP,Shopify US,Stock
SNAP,Snap,Stock
DKNG,DraftKings,Stock
RBLX,Roblox,Stock
