symbol,trades,winRate,avgReturnPct,profitFactor
MSFT,12,66.7,2.61,6.15
RKLB,15,66.7,10.4,4.79
IONQ,12,66.7,10.98,4.09
SNDK,7,57.1,12.55,3.99
NFLX,17,70.6,2.59,3.32
ARM,8,62.5,5.45,3.14
GWRE,16,56.3,2.24,3.11
PLTR,15,53.3,5.92,3.08
CIEN,18,50,3.87,2.96
META,17,47.1,2.4,2.79
CRWD,16,56.3,3.54,2.62
RBLX,10,60,3.19,2.6
ELF,20,50,2.94,2.22
C,18,50,1.61,2.09
RDDT,5,40,3.61,2.08
ANET,23,52.2,2.16,2.07
INTC,13,46.2,2.54,2.04
NTNX,17,41.2,1.66,2.04
CELH,11,45.5,2.42,1.99
DECK,18,50,1.73,1.98
WDC,19,47.4,2.37,1.95
DKNG,14,50,2.03,1.89
TSM,23,39.1,1.23,1.83
DELL,20,45,1.81,1.72
TSLA,12,41.7,1.39,1.68
AAPL,17,41.2,0.81,1.62
MU,18,38.9,1.66,1.61
HIMS,16,37.5,2.68,1.61
FLEX,23,43.5,1.28,1.57
NVDA,20,45,1.43,1.56
SHOP,17,35.3,1.12,1.5
NET,17,41.2,1.32,1.44
SNOW,12,41.7,1.07,1.44
CW,22,40.9,0.57,1.41
FIX,24,37.5,1,1.4
TLN,15,46.7,0.91,1.35
UPST,8,25,1.3,1.26
PANW,19,36.8,0.5,1.22
AMD,15,40,0.63,1.17
TEAM,6,33.3,0.39,1.14
ONON,12,25,0.34,1.12
COIN,10,30,0.61,1.1
MSTR,14,42.9,0.39,1.08
AFRM,12,25,0.33,1.07
SOFI,10,40,0.21,1.06
AVGO,23,34.8,0.15,1.06
LLY,22,36.4,0.06,1.03
CAVA,8,37.5,-0.08,0.98
CMG,12,41.7,-0.07,0.97
SMCI,13,30.8,-0.32,0.94
APP,18,22.2,-0.73,0.83
NVO,15,26.7,-0.24,0.83
TTD,10,30,-0.35,0.83
ORCL,15,33.3,-0.52,0.77
PYPL,9,22.2,-0.58,0.74
VKTX,17,29.4,-1.47,0.72
GOOGL,16,31.3,-0.75,0.67
HOOD,13,23.1,-1.98,0.61
AMZN,17,17.6,-0.92,0.57
RBA,13,23.1,-0.69,0.56
CASY,25,24,-1,0.54
UBER,15,26.7,-1.43,0.49
NOW,14,14.3,-1.49,0.38
ABNB,12,8.3,-1.88,0.36
PATH,6,16.7,-3.04,0.34
AI,8,12.5,-5.69,0.33
MDB,10,10,-3.11,0.27
DDOG,9,0,-3.33,0
SQ,0,0,0,
PSTG,0,0,0,
