symbol,signal,setup,score,close,rsi14,ema20,ema50,high55,buyZoneLow,buyZoneHigh,stop,target1,target,riskPct,rewardRisk,avgVolume20,relativeStrength60,entryPlan,holdPlan,sizePlan,reason,marketRegime,marketScore
HOOD,BUY_SETUP,Trend continuation,90,124.43,67.9,112.55,105.99,124.72,121.04,126.12,110.87,144.76,165.1,10.89,3,23008487,0.2047,"Extended move. Starter only near 121.04-126.12, or wait for a pullback toward EMA20.",Plan for 2-8 weeks. Stay only while price respects the stop and trend stays intact.,Starter size only. Add later only if the stock holds trend and risk tightens.,stacked uptrend; rising 50 EMA; constructive RSI; MACD improving; near 55-day high; outperforming benchmark,MIXED,65
NVDA,BUY_SETUP,Trend continuation,90,229.2,66.8,220.29,216.14,230.36,226.32,230.63,217.71,246.42,263.64,5.01,3,131178794,0.1343,Buy zone 226.32-230.63 if price holds above EMA20.,Plan for 2-8 weeks. Stay only while price respects the stop and trend stays intact.,Normal starter position. Add only after the setup proves itself.,stacked uptrend; rising 50 EMA; constructive RSI; MACD improving; near 55-day high; outperforming benchmark,MIXED,65
SHOP,BUY_SETUP,Trend continuation,90,148.03,69.5,137.28,135.29,158.53,144.58,149.76,135.29,167.14,186.24,8.6,3,9112403,0.2106,Buy zone 144.58-149.76 if price holds above EMA20.,Plan for 2-8 weeks. Stay only while price respects the stop and trend stays intact.,Normal starter position. Add only after the setup proves itself.,stacked uptrend; rising 50 EMA; constructive RSI; MACD improving; volume expansion; outperforming benchmark,MIXED,65
SMCI,BUY_SETUP,Trend continuation,90,41.14,61.8,38.18,35.74,41.2,39.99,41.71,36.54,48.03,54.93,11.17,3,37285694,0.287,"Extended move. Starter only near 39.99-41.71, or wait for a pullback toward EMA20.",Plan for 2-8 weeks. Stay only while price respects the stop and trend stays intact.,Starter size only. Add later only if the stock holds trend and risk tightens.,stacked uptrend; rising 50 EMA; constructive RSI; MACD improving; near 55-day high; outperforming benchmark,MIXED,65
AAPL,BUY_SETUP,Breakout trend,85,341.09,76.1,327.75,319.41,341.09,337.62,342.83,327.21,361.91,382.74,4.07,3,42310110,0.1458,"Extended move. Starter only near 337.62-342.83, or wait for a pullback toward EMA20.",Plan for 2-8 weeks. Stay only while price respects the stop and trend stays intact.,Starter size only. Add later only if the stock holds trend and risk tightens.,stacked uptrend; rising 50 EMA; extended RSI; MACD improving; 55-day breakout; outperforming benchmark,MIXED,65
AMD,BUY_SETUP,Breakout trend,85,620.34,84.2,523.54,501.37,620.34,607.11,626.96,567.4,699.76,779.18,8.53,3,20651121,0.1332,"Extended move. Starter only near 607.11-626.96, or wait for a pullback toward EMA20.",Plan for 2-8 weeks. Stay only while price respects the stop and trend stays intact.,Starter size only. Add later only if the stock holds trend and risk tightens.,stacked uptrend; rising 50 EMA; extended RSI; MACD improving; 55-day breakout; outperforming benchmark,MIXED,65
META,BUY_SETUP,Breakout trend,85,743.23,84.6,650.16,620.81,743.23,728.29,750.7,683.47,832.87,922.51,8.04,3,20881440,0.2946,"Extended move. Starter only near 728.29-750.70, or wait for a pullback toward EMA20.",Plan for 2-8 weeks. Stay only while price respects the stop and trend stays intact.,Starter size only. Add later only if the stock holds trend and risk tightens.,stacked uptrend; rising 50 EMA; extended RSI; MACD improving; 55-day breakout; outperforming benchmark,MIXED,65
NET,BUY_SETUP,Breakout trend,85,354.98,72.5,315.82,295.08,354.98,345.67,359.64,317.73,410.86,466.74,10.49,3,3129446,0.4402,"Extended move. Starter only near 345.67-359.64, or wait for a pullback toward EMA20.",Plan for 2-8 weeks. Stay only while price respects the stop and trend stays intact.,Starter size only. Add later only if the stock holds trend and risk tightens.,stacked uptrend; rising 50 EMA; extended RSI; MACD improving; 55-day breakout; outperforming benchmark,MIXED,65
ANET,BUY_SETUP,Trend continuation,80,203.7,62.1,195.74,188.47,210.5,199.93,205.59,188.61,226.33,248.97,7.41,3,4894888,0.2364,Buy zone 199.93-205.59 if price holds above EMA20.,Plan for 2-8 weeks. Stay only while price respects the stop and trend stays intact.,Normal starter position. Add only after the setup proves itself.,stacked uptrend; rising 50 EMA; constructive RSI; MACD improving; outperforming benchmark,MIXED,65
CRWD,BUY_SETUP,Breakout trend,80,249.9,70.1,226.25,210.05,249.9,243.33,253.19,223.61,289.35,328.8,10.52,3,12889954,0.3697,"Extended move. Starter only near 243.33-253.19, or wait for a pullback toward EMA20.",Plan for 2-8 weeks. Stay only while price respects the stop and trend stays intact.,Starter size only. Add later only if the stock holds trend and risk tightens.,stacked uptrend; rising 50 EMA; constructive RSI; 55-day breakout; outperforming benchmark,MIXED,65
